task_id,asset_id,department,maintenance_type,corridor_id,section_id,date,start_minute,end_minute,duration_minutes,block_ids,assigned_teams,is_bundled,sharing_type,bundled_with_task_ids,is_night,risk_score,risk_level,failure_probability_30d,priority_score
TASK-000086,AST-120086,Electrical / TRD,Turnout Maintenance,COR-018,SEC-0174,2026-09-04,0,99,99,BLK-004477,TEAM-013,No,single,None,Yes,60.30,HIGH,0.6034,1259.00
TASK-000100,AST-120100,Electrical / TRD,Relay Testing,COR-014,SEC-0134,2026-09-04,1260,1309,49,BLK-004007,TEAM-021,No,single,None,Yes,82.50,CRITICAL,0.8255,1681.50
TASK-000128,AST-120128,Track / Civil Engineering,Axle Inspection,COR-004,SEC-0038,2026-09-04,360,465,105,BLK-002848,TEAM-001,No,single,None,No,41.00,MODERATE,0.4102,852.25
TASK-000142,AST-120142,Track / Civil Engineering,Bearing Inspection,COR-005,SEC-0043,2026-09-04,0,189,189,BLK-002905;BLK-002906,TEAM-004,No,single,None,Yes,55.70,MODERATE,0.5571,1234.00
TASK-000156,AST-120156,Mechanical / Rolling Stock,Catenary Repair,COR-017,SEC-0170,2026-09-04,600,729,129,BLK-004434;BLK-004435,TEAM-035,No,single,None,No,5.60,LOW,0.0559,144.25
TASK-000017,AST-120017,Signal & Telecommunications (S&T),Ballast Tamping,COR-013,SEC-0129,2026-09-05,180,349,169,BLK-006338;BLK-006339,TEAM-022,No,single,None,Yes,4.60,LOW,0.0457,193.50
TASK-000031,AST-120031,Track / Civil Engineering,Rail Grinding,COR-004,SEC-0036,2026-09-05,240,411,171,BLK-005223;BLK-005224,TEAM-004,No,single,None,Yes,69.30,HIGH,0.6932,1486.00
TASK-000045,AST-120045,Track / Civil Engineering,Bridge Inspection,COR-009,SEC-0087,2026-09-05,240,382,142,BLK-005835;BLK-005836,TEAM-001,No,single,None,Yes,28.80,LOW,0.2881,678.25
TASK-000059,AST-120059,Electrical / TRD,Axle Counter Inspection,COR-016,SEC-0153,2026-09-05,1080,1228,148,BLK-006634;BLK-006635,TEAM-021,No,single,None,Yes,3.50,LOW,0.0346,213.00
TASK-000073,AST-120073,Electrical / TRD,Brake Inspection,COR-013,SEC-0130,2026-09-05,1080,1261,181,BLK-006358;BLK-006359,TEAM-015,No,single,None,Yes,28.90,LOW,0.2894,680.25
TASK-000087,AST-120087,Track / Civil Engineering,Bridge Inspection,COR-004,SEC-0035,2026-09-05,0,114,114,BLK-005209,TEAM-001,No,single,None,Yes,69.50,HIGH,0.6952,1491.50
TASK-000101,AST-120101,Mechanical / Rolling Stock,OHE Inspection,COR-014,SEC-0138,2026-09-05,1080,1214,134,BLK-006454;BLK-006455,TEAM-033,No,single,None,Yes,90.60,CRITICAL,0.9056,1862.00
TASK-000115,AST-120115,Track / Civil Engineering,Rail Inspection,COR-002,SEC-0012,2026-09-05,0,160,160,BLK-004933;BLK-004934,TEAM-004,No,single,None,Yes,32.40,MODERATE,0.3236,788.00
TASK-000129,AST-120129,Signal & Telecommunications (S&T),Traction Motor Inspection,COR-001,SEC-0002,2026-09-05,600,746,146,BLK-004818;BLK-004819,TEAM-026,No,single,None,No,9.00,LOW,0.0898,311.50
TASK-000143,AST-120143,Electrical / TRD,Ballast Tamping,COR-006,SEC-0054,2026-09-05,240,360,120,BLK-005439,TEAM-013,No,single,None,Yes,3.10,LOW,0.0313,194.25
TASK-000157,AST-120157,Mechanical / Rolling Stock,Sleeper Replacement,COR-003,SEC-0027,2026-09-05,302,474,172,BLK-005115;BLK-005116,TEAM-037,No,single,None,Yes,3.50,LOW,0.0346,110.00
TASK-000004,AST-120004,Track / Civil Engineering,Bridge Inspection,COR-017,SEC-0168,2026-09-06,1200,1402,202,BLK-009215;BLK-009216,TEAM-006,No,single,None,Yes,19.60,LOW,0.1959,473.50
TASK-000018,AST-120018,Signal & Telecommunications (S&T),Bridge Inspection,COR-007,SEC-0064,2026-09-06,0,147,147,BLK-007957;BLK-007958,TEAM-022;TEAM-028,No,single,None,Yes,48.70,MODERATE,0.4865,1114.00
TASK-000032,AST-120032,Track / Civil Engineering,OHE Inspection,COR-017,SEC-0162,2026-09-06,0,112,112,BLK-009133,TEAM-004,No,single,None,Yes,62.00,HIGH,0.6204,1290.00
TASK-000046,AST-120046,Track / Civil Engineering,Signal Inspection,COR-010,SEC-0093,2026-09-06,17,120,103,BLK-008305,TEAM-001,No,single,None,Yes,59.10,MODERATE,0.5914,1233.50
TASK-000060,AST-120060,Track / Civil Engineering,Telecom Inspection,COR-019,SEC-0189,2026-09-06,1080,1215,135,BLK-009466;BLK-009467,TEAM-003,No,single,None,Yes,52.30,MODERATE,0.5226,1178.25
TASK-000074,AST-120074,Signal & Telecommunications (S&T),Traction Motor Inspection,COR-010,SEC-0093,2026-09-06,150,304,154,BLK-008306;BLK-008307,TEAM-028,No,single,None,Yes,15.10,LOW,0.1506,382.00
TASK-000088,AST-120088,Track / Civil Engineering,Sleeper Replacement,COR-002,SEC-0019,2026-09-06,60,219,159,BLK-007417;BLK-007418,TEAM-010,No,single,None,Yes,48.20,MODERATE,0.4819,1086.25
TASK-000102,AST-120102,Signal & Telecommunications (S&T),Interlocking Maintenance,COR-010,SEC-0096,2026-09-06,120,247,127,BLK-008342;BLK-008343,TEAM-025,No,single,None,Yes,14.90,LOW,0.1489,430.25
TASK-000116,AST-120116,Mechanical / Rolling Stock,Ballast Tamping,COR-011,SEC-0101,2026-09-06,240,359,119,BLK-008403,TEAM-034,No,single,None,Yes,17.50,LOW,0.1751,402.25
TASK-000130,AST-120130,Mechanical / Rolling Stock,Switchgear Inspection,COR-011,SEC-0101,2026-09-06,1110,1285,175,BLK-008410;BLK-008411,TEAM-039,No,single,None,Yes,13.90,LOW,0.1394,329.50
TASK-000144,AST-120144,Mechanical / Rolling Stock,Bearing Inspection,COR-005,SEC-0043,2026-09-06,1367,1440,73,BLK-007716,TEAM-033,No,single,None,Yes,1.60,LOW,0.0163,82.00
TASK-000158,AST-120158,Electrical / TRD,Ballast Tamping,COR-011,SEC-0105,2026-09-06,83,240,157,BLK-008449;BLK-008450,TEAM-013,No,single,None,Yes,16.30,LOW,0.1635,426.00
TASK-000005,AST-120005,Electrical / TRD,Rail Grinding,COR-001,SEC-0004,2026-09-07,0,200,200,BLK-009637;BLK-009638,TEAM-013,No,single,None,Yes,81.00,CRITICAL,0.8103,1762.25
TASK-000019,AST-120019,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-018,SEC-0171,2026-09-07,136,240,104,BLK-011642,TEAM-022,No,single,None,Yes,91.50,CRITICAL,0.9150,1930.00
TASK-000033,AST-120033,Mechanical / Rolling Stock,Switchgear Inspection,COR-020,SEC-0196,2026-09-07,338,480,142,BLK-011943;BLK-011944,TEAM-031,No,single,None,Yes,4.80,LOW,0.0483,219.00
TASK-000047,AST-120047,Track / Civil Engineering,Sleeper Replacement,COR-014,SEC-0139,2026-09-07,1140,1303,163,BLK-011266;BLK-011267,TEAM-009,No,single,None,Yes,97.20,CRITICAL,0.9719,2005.50
TASK-000061,AST-120061,Track / Civil Engineering,Sleeper Replacement,COR-013,SEC-0123,2026-09-07,1214,1320,106,BLK-011075,TEAM-003,No,single,None,Yes,15.30,LOW,0.1530,407.50
TASK-000075,AST-120075,Electrical / TRD,Ballast Tamping,COR-003,SEC-0028,2026-09-07,16,120,104,BLK-009925,TEAM-016,No,single,None,Yes,10.00,LOW,0.0997,300.00
TASK-000089,AST-120089,Electrical / TRD,Relay Testing,COR-019,SEC-0186,2026-09-07,1263,1440,177,BLK-011831;BLK-011832,TEAM-021,No,single,None,Yes,21.50,LOW,0.2153,530.00
TASK-000131,AST-120131,Track / Civil Engineering,Rail Inspection,COR-009,SEC-0083,2026-09-07,120,302,182,BLK-010586;BLK-010587,TEAM-007,No,single,None,Yes,8.50,LOW,0.0848,302.25
TASK-000145,AST-120145,Track / Civil Engineering,Rail Inspection,COR-015,SEC-0148,2026-09-07,60,234,174,BLK-011365;BLK-011366,TEAM-001,No,single,None,Yes,2.60,LOW,0.0264,112.00
TASK-000159,AST-120159,Signal & Telecommunications (S&T),Rail Inspection,COR-012,SEC-0114,2026-09-07,294,480,186,BLK-010959;BLK-010960,TEAM-022,No,single,None,Yes,20.40,LOW,0.2039,510.25
TASK-000006,AST-120006,Electrical / TRD,Substation Maintenance,COR-002,SEC-0016,2026-09-08,12,120,108,BLK-012181,TEAM-016,No,single,None,Yes,88.40,CRITICAL,0.8837,1849.50
TASK-000020,AST-120020,Signal & Telecommunications (S&T),Bearing Inspection,COR-017,SEC-0163,2026-09-08,1080,1230,150,BLK-013954;BLK-013955,TEAM-024;TEAM-027,No,single,None,Yes,4.40,LOW,0.0442,161.00
TASK-000034,AST-120034,Track / Civil Engineering,Rail Inspection,COR-016,SEC-0155,2026-09-08,0,109,109,BLK-013849,TEAM-007,No,single,None,Yes,98.10,CRITICAL,0.9814,2082.00
TASK-000048,AST-120048,Track / Civil Engineering,Bearing Inspection,COR-006,SEC-0055,2026-09-08,360,436,76,BLK-012652,TEAM-001,No,single,None,No,43.40,MODERATE,0.4341,939.50
TASK-000062,AST-120062,Mechanical / Rolling Stock,Feeder Maintenance,COR-003,SEC-0028,2026-09-08,1249,1440,191,BLK-012335;BLK-012336,TEAM-039,No,single,None,Yes,12.80,LOW,0.1276,326.00
TASK-000076,AST-120076,Electrical / TRD,Signal Inspection,COR-012,SEC-0113,2026-09-08,18,120,102,BLK-013345,TEAM-013,No,single,None,Yes,12.50,LOW,0.1247,333.00
TASK-000090,AST-120090,Electrical / TRD,Rail Inspection,COR-008,SEC-0080,2026-09-08,120,336,216,BLK-012950;BLK-012951,TEAM-013,No,single,None,Yes,74.40,HIGH,0.7441,1591.00
TASK-000104,AST-120104,Track / Civil Engineering,Rail Inspection,COR-006,SEC-0052,2026-09-08,1200,1337,137,BLK-012623;BLK-012624,TEAM-009,No,single,None,Yes,39.30,MODERATE,0.3927,869.00
TASK-000118,AST-120118,Electrical / TRD,Ballast Tamping,COR-009,SEC-0089,2026-09-08,0,142,142,BLK-013057;BLK-013058,TEAM-019,No,single,None,Yes,11.70,LOW,0.1167,375.50
TASK-000132,AST-120132,Track / Civil Engineering,Ballast Tamping,COR-019,SEC-0190,2026-09-08,35,240,205,BLK-014269;BLK-014270,TEAM-001,No,single,None,Yes,91.80,CRITICAL,0.9183,1968.25
TASK-000146,AST-120146,Signal & Telecommunications (S&T),Sleeper Replacement,COR-010,SEC-0093,2026-09-08,111,240,129,BLK-013105;BLK-013106,TEAM-022;TEAM-025,No,single,None,Yes,6.70,LOW,0.0675,216.25
TASK-000160,AST-120160,Electrical / TRD,Bridge Inspection,COR-019,SEC-0184,2026-09-08,960,1087,127,BLK-014205;BLK-014206,TEAM-015,No,single,None,No,24.50,LOW,0.2448,563.00
TASK-000021,AST-120021,Track / Civil Engineering,Axle Inspection,COR-003,SEC-0022,2026-09-09,1349,1440,91,BLK-014664,TEAM-003,No,single,None,Yes,63.00,HIGH,0.6303,1343.00
TASK-000035,AST-120035,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-014,SEC-0138,2026-09-09,60,190,130,BLK-016045;BLK-016046,TEAM-022;TEAM-025,No,single,None,Yes,48.10,MODERATE,0.4810,1043.50
TASK-000049,AST-120049,Mechanical / Rolling Stock,Rail Grinding,COR-016,SEC-0160,2026-09-09,1311,1440,129,BLK-016319;BLK-016320,TEAM-039,No,single,None,Yes,55.10,MODERATE,0.5513,1243.50
TASK-000063,AST-120063,Electrical / TRD,OHE Inspection,COR-014,SEC-0133,2026-09-09,351,480,129,BLK-015987;BLK-015988,TEAM-013,No,single,None,Yes,93.90,CRITICAL,0.9394,1958.00
TASK-000077,AST-120077,Track / Civil Engineering,Rail Inspection,COR-014,SEC-0139,2026-09-09,180,353,173,BLK-016058;BLK-016059,TEAM-007,No,single,None,Yes,64.60,HIGH,0.6458,1414.25
TASK-000091,AST-120091,Electrical / TRD,Rail Grinding,COR-004,SEC-0040,2026-09-09,240,403,163,BLK-014871;BLK-014872,TEAM-019,No,single,None,Yes,77.00,HIGH,0.7697,1681.50
TASK-000105,AST-120105,Electrical / TRD,Bridge Inspection,COR-007,SEC-0063,2026-09-09,960,1151,191,BLK-015153;BLK-015154,TEAM-021,No,single,None,No,4.00,LOW,0.0402,202.25
TASK-000119,AST-120119,Mechanical / Rolling Stock,Brake Inspection,COR-011,SEC-0102,2026-09-09,1333,1440,107,BLK-015624,TEAM-036,No,single,None,Yes,94.90,CRITICAL,0.9489,1978.00
TASK-000147,AST-120147,Signal & Telecommunications (S&T),Switchgear Inspection,COR-003,SEC-0021,2026-09-09,57,240,183,BLK-014641;BLK-014642,TEAM-028,No,single,None,Yes,52.00,MODERATE,0.5200,1121.50
TASK-000161,AST-120161,Electrical / TRD,Ballast Tamping,COR-012,SEC-0120,2026-09-09,120,264,144,BLK-015830;BLK-015831,TEAM-013,No,single,None,Yes,4.90,LOW,0.0487,228.00
TASK-000008,AST-120008,Mechanical / Rolling Stock,Wheelset Inspection,COR-017,SEC-0163,2026-09-10,120,196,76,BLK-018746,TEAM-031,No,single,None,Yes,71.10,HIGH,0.7108,1544.25
TASK-000022,AST-120022,Track / Civil Engineering,Bearing Inspection,COR-003,SEC-0026,2026-09-10,120,230,110,BLK-017102,TEAM-004,No,single,None,Yes,18.80,LOW,0.1876,506.00
TASK-000036,AST-120036,Track / Civil Engineering,Signal Inspection,COR-013,SEC-0122,2026-09-10,1320,1423,103,BLK-018264,TEAM-003,No,single,None,Yes,37.70,MODERATE,0.3770,844.00
TASK-000050,AST-120050,Signal & Telecommunications (S&T),Brake Inspection,COR-007,SEC-0065,2026-09-10,1220,1320,100,BLK-017579,TEAM-027,No,single,None,Yes,6.60,LOW,0.0664,264.25
TASK-000064,AST-120064,Electrical / TRD,Coach Equipment Maintenance,COR-012,SEC-0111,2026-09-10,1320,1418,98,BLK-018132,TEAM-015,No,single,None,Yes,5.10,LOW,0.0509,193.50
TASK-000078,AST-120078,Mechanical / Rolling Stock,Ballast Tamping,COR-004,SEC-0031,2026-09-10,289,473,184,BLK-017163;BLK-017164,TEAM-031,No,single,None,Yes,49.20,MODERATE,0.4920,1074.00
TASK-000092,AST-120092,Mechanical / Rolling Stock,Transformer Inspection,COR-011,SEC-0110,2026-09-10,60,111,51,BLK-018109,TEAM-031,No,single,None,Yes,27.60,LOW,0.2759,643.50
TASK-000106,AST-120106,Track / Civil Engineering,Rail Inspection,COR-006,SEC-0052,2026-09-10,0,139,139,BLK-017413;BLK-017414,TEAM-001,No,single,None,Yes,39.70,MODERATE,0.3965,884.00
TASK-000120,AST-120120,Electrical / TRD,Axle Inspection,COR-003,SEC-0028,2026-09-10,1267,1320,53,BLK-017135,TEAM-015,No,single,None,Yes,91.90,CRITICAL,0.9187,1929.50
TASK-000134,AST-120134,Electrical / TRD,Sleeper Replacement,COR-019,SEC-0186,2026-09-10,1238,1440,202,BLK-019031;BLK-019032,TEAM-021,No,single,None,Yes,32.20,MODERATE,0.3220,744.00
TASK-000148,AST-120148,Signal & Telecommunications (S&T),Bridge Inspection,COR-001,SEC-0010,2026-09-10,180,326,146,BLK-016910;BLK-016911,TEAM-022,No,single,None,Yes,20.00,LOW,0.2002,491.50
TASK-000162,AST-120162,Track / Civil Engineering,Telecom Inspection,COR-001,SEC-0001,2026-09-10,0,185,185,BLK-016801;BLK-016802,TEAM-007,No,single,None,Yes,51.70,MODERATE,0.5172,1157.00
TASK-000009,AST-120009,Track / Civil Engineering,Turnout Maintenance,COR-015,SEC-0141,2026-09-11,245,401,156,BLK-020883;BLK-020884,TEAM-004,No,single,None,Yes,76.10,HIGH,0.7606,1625.00
TASK-000023,AST-120023,Mechanical / Rolling Stock,Bridge Inspection,COR-005,SEC-0042,2026-09-11,1268,1440,172,BLK-019703;BLK-019704,TEAM-039,No,single,None,Yes,68.70,HIGH,0.6871,1506.25
TASK-000037,AST-120037,Track / Civil Engineering,Wheelset Inspection,COR-005,SEC-0041,2026-09-11,240,317,77,BLK-019683,TEAM-001,No,single,None,Yes,93.10,CRITICAL,0.9310,1964.25
TASK-000051,AST-120051,Signal & Telecommunications (S&T),Substation Maintenance,COR-003,SEC-0023,2026-09-11,1320,1440,120,BLK-019476,TEAM-024,No,single,None,Yes,95.30,CRITICAL,0.9533,2006.00
TASK-000065,AST-120065,Electrical / TRD,Turnout Maintenance,COR-018,SEC-0171,2026-09-11,1209,1383,174,BLK-021251;BLK-021252,TEAM-021,No,single,None,Yes,59.10,MODERATE,0.5910,1282.00
TASK-000079,AST-120079,Mechanical / Rolling Stock,Rail Inspection,COR-008,SEC-0074,2026-09-11,1200,1368,168,BLK-020087;BLK-020088,TEAM-033,No,single,None,Yes,7.10,LOW,0.0706,284.25
TASK-000093,AST-120093,Signal & Telecommunications (S&T),Sleeper Replacement,COR-003,SEC-0021,2026-09-11,0,135,135,BLK-019441;BLK-019442,TEAM-025;TEAM-028,No,single,None,Yes,59.00,MODERATE,0.5899,1310.00
TASK-000107,AST-120107,Signal & Telecommunications (S&T),Coach Equipment Maintenance,COR-006,SEC-0057,2026-09-11,240,374,134,BLK-019875;BLK-019876,TEAM-022,No,single,None,Yes,19.20,LOW,0.1921,507.00
TASK-000121,AST-120121,Electrical / TRD,Ballast Tamping,COR-016,SEC-0160,2026-09-11,1306,1440,134,BLK-021119;BLK-021120,TEAM-015,No,single,None,Yes,7.90,LOW,0.0790,258.00
TASK-000135,AST-120135,Electrical / TRD,Telecom Inspection,COR-006,SEC-0053,2026-09-11,1320,1406,86,BLK-019836,TEAM-018,No,single,None,Yes,96.30,CRITICAL,0.9632,2048.25
TASK-000149,AST-120149,Track / Civil Engineering,Rail Inspection,COR-015,SEC-0144,2026-09-11,960,1153,193,BLK-020925;BLK-020926,TEAM-006,No,single,None,No,40.20,MODERATE,0.4023,946.25
TASK-000163,AST-120163,Mechanical / Rolling Stock,Catenary Repair,COR-006,SEC-0057,2026-09-11,8,167,159,BLK-019873;BLK-019874,TEAM-031,No,single,None,Yes,49.60,MODERATE,0.4962,1092.00
TASK-000010,AST-120010,Track / Civil Engineering,Point Machine Maintenance,COR-012,SEC-0114,2026-09-12,161,240,79,BLK-022958,TEAM-001,No,single,None,Yes,61.10,HIGH,0.6115,1332.00
TASK-000024,AST-120024,Electrical / TRD,Point Machine Maintenance,COR-003,SEC-0028,2026-09-12,240,439,199,BLK-021927;BLK-021928,TEAM-016,No,single,None,Yes,95.50,CRITICAL,0.9555,2020.00
TASK-000038,AST-120038,Mechanical / Rolling Stock,Feeder Maintenance,COR-010,SEC-0094,2026-09-12,180,314,134,BLK-022718;BLK-022719,TEAM-034,No,single,None,Yes,2.50,LOW,0.0246,162.25
TASK-000066,AST-120066,Electrical / TRD,Rail Grinding,COR-007,SEC-0070,2026-09-12,0,112,112,BLK-022429,TEAM-013,No,single,None,Yes,2.10,LOW,0.0213,184.25
TASK-000080,AST-120080,Signal & Telecommunications (S&T),Rail Inspection,COR-013,SEC-0124,2026-09-12,1080,1210,130,BLK-023086;BLK-023087,TEAM-024,No,single,None,Yes,46.50,MODERATE,0.4651,1072.25
TASK-000108,AST-120108,Electrical / TRD,Relay Testing,COR-016,SEC-0153,2026-09-12,240,351,111,BLK-023427,TEAM-013,No,single,None,Yes,8.00,LOW,0.0798,290.00
TASK-000122,AST-120122,Electrical / TRD,Coach Equipment Maintenance,COR-019,SEC-0181,2026-09-12,240,397,157,BLK-023763;BLK-023764,TEAM-019,No,single,None,Yes,1.80,LOW,0.0176,148.25
TASK-000136,AST-120136,Signal & Telecommunications (S&T),Catenary Repair,COR-001,SEC-0008,2026-09-12,1320,1402,82,BLK-021696,TEAM-024,No,single,None,Yes,30.20,MODERATE,0.3018,725.50
TASK-000150,AST-120150,Track / Civil Engineering,Interlocking Maintenance,COR-014,SEC-0134,2026-09-12,1223,1320,97,BLK-023207,TEAM-003,No,single,None,Yes,33.40,MODERATE,0.3339,800.25
TASK-000164,AST-120164,Mechanical / Rolling Stock,Sleeper Replacement,COR-012,SEC-0117,2026-09-12,1305,1440,135,BLK-023003;BLK-023004,TEAM-033,No,single,None,Yes,3.20,LOW,0.0325,196.25
TASK-000011,AST-120011,Mechanical / Rolling Stock,Turnout Maintenance,COR-013,SEC-0125,2026-09-13,120,229,109,BLK-025490,TEAM-034,No,single,None,Yes,4.50,LOW,0.0448,211.50
TASK-000025,AST-120025,Track / Civil Engineering,Bearing Inspection,COR-011,SEC-0110,2026-09-13,1186,1320,134,BLK-025318;BLK-025319,TEAM-003,No,single,None,Yes,49.10,MODERATE,0.4906,1105.00
TASK-000039,AST-120039,Track / Civil Engineering,Interlocking Maintenance,COR-019,SEC-0183,2026-09-13,240,412,172,BLK-026187;BLK-026188,TEAM-001,No,single,None,Yes,88.60,CRITICAL,0.8859,1894.25
TASK-000053,AST-120053,Mechanical / Rolling Stock,Substation Maintenance,COR-008,SEC-0073,2026-09-13,18,120,102,BLK-024865,TEAM-031,No,single,None,Yes,79.00,HIGH,0.7899,1702.25
TASK-000067,AST-120067,Track / Civil Engineering,Transformer Inspection,COR-017,SEC-0165,2026-09-13,0,116,116,BLK-025969,TEAM-010,No,single,None,Yes,37.40,MODERATE,0.3738,869.50
TASK-000081,AST-120081,Signal & Telecommunications (S&T),Feeder Maintenance,COR-006,SEC-0058,2026-09-13,1289,1440,151,BLK-024695;BLK-024696,TEAM-024,No,single,None,Yes,37.90,MODERATE,0.3792,881.00
TASK-000095,AST-120095,Signal & Telecommunications (S&T),Coach Equipment Maintenance,COR-014,SEC-0132,2026-09-13,52,120,68,BLK-025573,TEAM-022,No,single,None,Yes,71.20,HIGH,0.7119,1554.00
TASK-000109,AST-120109,Mechanical / Rolling Stock,Transformer Inspection,COR-019,SEC-0189,2026-09-13,40,120,80,BLK-026257,TEAM-037,No,single,None,Yes,18.00,LOW,0.1800,482.25
TASK-000123,AST-120123,Signal & Telecommunications (S&T),Rail Grinding,COR-003,SEC-0022,2026-09-13,120,319,199,BLK-024254;BLK-024255,TEAM-022,No,single,None,Yes,89.00,CRITICAL,0.8900,1902.25
TASK-000137,AST-120137,Mechanical / Rolling Stock,Bridge Inspection,COR-017,SEC-0167,2026-09-13,11,120,109,BLK-025993,TEAM-034,No,single,None,Yes,5.10,LOW,0.0514,223.50
TASK-000151,AST-120151,Electrical / TRD,Wheelset Inspection,COR-007,SEC-0064,2026-09-13,1215,1320,105,BLK-024767,TEAM-015,No,single,None,Yes,6.10,LOW,0.0614,244.25
